champion,field,old,new,source
Aatrox,role,"[""Fighter""]","[""Fighter"", ""Tank""]",https://universe.leagueoflegends.com/en_US/champion/aatrox/
Ahri,role,"[""Mage""]","[""Mage"", ""Assassin""]",https://universe.leagueoflegends.com/en_US/champion/ahri/
Akshan,region,"[""Runeterra""]","[""Shurima""]",https://universe.leagueoflegends.com/en_US/champion/akshan/
Akshan,role,"[""""]","[""Marksman"", ""Assassin""]",https://universe.leagueoflegends.com/en_US/champion/akshan/
Alistar,role,"[""Tank""]","[""Tank"", ""Support""]",https://universe.leagueoflegends.com/en_US/champion/alistar/
Ambessa,region,"[""Runeterra""]","[""Noxus""]",https://universe.leagueoflegends.com/en_US/champion/ambessa/
Ambessa,role,"[""""]","[""Fighter""]",https://universe.leagueoflegends.com/en_US/champion/ambessa/
Amumu,role,"[""Tank""]","[""Tank"", ""Mage""]",https://universe.leagueoflegends.com/en_US/champion/amumu/
Anivia,role,"[""Mage""]","[""Mage"", ""Support""]",https://universe.leagueoflegends.com/en_US/champion/anivia/
Anivia,related,"[""Ornn"", ""Volibear"", ""Ashe"", ""nunu""]","[""Ornn"", ""Volibear"", ""Ashe"", ""Nunu & Willump""]",https://universe.leagueoflegends.com/en_US/champion/anivia/
Aphelios,role,"[""Marksman""]","[""Marksman"", ""Tank""]",https://universe.leagueoflegends.com/en_US/champion/aphelios/
Ashe,role,"[""Marksman""]","[""Marksman"", ""Support""]",https://universe.leagueoflegends.com/en_US/champion/ashe/
Aurelion Sol,role,"[""Mage""]","[""Mage"", ""Fighter""]",https://universe.leagueoflegends.com/en_US/champion/aurelionsol/
Aurora,region,"[""Runeterra""]","[""Freljord""]",https://universe.leagueoflegends.com/en_US/champion/aurora/
Aurora,role,"[""""]","[""Mage""]",https://universe.leagueoflegends.com/en_US/champion/aurora/
Aurora,race,"[""""]","[""Vastaya""]",https://universe.leagueoflegends.com/en_US/champion/aurora/
Azir,role,"[""Mage""]","[""Mage"", ""Marksman""]",https://universe.leagueoflegends.com/en_US/champion/azir/
Bard,role,"[""Support""]","[""Support"", ""Mage""]",https://universe.leagueoflegends.com/en_US/champion/bard/
Bel'Veth,region,"[""Runeterra""]","[""The Void""]",https://universe.leagueoflegends.com/en_US/champion/belveth/
Bel'Veth,role,"[""""]","[""Fighter""]",https://universe.leagueoflegends.com/en_US/champion/belveth/
Blitzcrank,role,"[""Tank""]","[""Tank"", ""Fighter""]",https://universe.leagueoflegends.com/en_US/champion/blitzcrank/
Braum,role,"[""Support""]","[""Support"", ""Tank""]",https://universe.leagueoflegends.com/en_US/champion/braum/
Briar,region,"[""Runeterra""]","[""Noxus""]",https://universe.leagueoflegends.com/en_US/champion/briar/
Briar,role,"[""""]","[""Fighter""]",https://universe.leagueoflegends.com/en_US/champion/briar/
Cho'Gath,role,"[""Tank""]","[""Tank"", ""Mage""]",https://universe.leagueoflegends.com/en_US/champion/chogath/
Darius,role,"[""Fighter""]","[""Fighter"", ""Tank""]",https://universe.leagueoflegends.com/en_US/champion/darius/
Diana,role,"[""Fighter""]","[""Fighter"", ""Mage""]",https://universe.leagueoflegends.com/en_US/champion/diana/
Dr. Mundo,role,"[""Fighter""]","[""Fighter"", ""Tank""]",https://universe.leagueoflegends.com/en_US/champion/drmundo/
Ekko,role,"[""Assassin""]","[""Assassin"", ""Fighter""]",https://universe.leagueoflegends.com/en_US/champion/ekko/
Elise,role,"[""Mage""]","[""Mage"", ""Fighter""]",https://universe.leagueoflegends.com/en_US/champion/elise/
Evelynn,role,"[""Assassin""]","[""Assassin"", ""Mage""]",https://universe.leagueoflegends.com/en_US/champion/evelynn/
Ezreal,role,"[""Marksman""]","[""Marksman"", ""Mage""]",https://universe.leagueoflegends.com/en_US/champion/ezreal/
Fiddlesticks,role,"[""Mage""]","[""Mage"", ""Support""]",https://universe.leagueoflegends.com/en_US/champion/fiddlesticks/
Fiora,role,"[""Fighter""]","[""Fighter"", ""Assassin""]",https://universe.leagueoflegends.com/en_US/champion/fiora/
Fizz,role,"[""Assassin""]","[""Assassin"", ""Fighter""]",https://universe.leagueoflegends.com/en_US/champion/fizz/
Galio,role,"[""Tank""]","[""Tank"", ""Mage""]",https://universe.leagueoflegends.com/en_US/champion/galio/
Garen,role,"[""Fighter""]","[""Fighter"", ""Tank""]",https://universe.leagueoflegends.com/en_US/champion/garen/
Gnar,role,"[""Fighter""]","[""Fighter"", ""Tank""]",https://universe.leagueoflegends.com/en_US/champion/gnar/
Gragas,role,"[""Fighter""]","[""Fighter"", ""Mage""]",https://universe.leagueoflegends.com/en_US/champion/gragas/
